token_id,Fur Color,Headwear,Eyewear,Outfit,Neck Accessory,Expression,Background Color
315,charcoal black,bowler hat,sport sunglasses,denim jacket,gold pendant chain,serious,bright coral
316,charcoal black,flat cap,sport sunglasses,green varsity jacket,gold cuban chain,serious,bright yellow
317,jet black,newsboy cap,aviator sunglasses,plaid overshirt,silver cuban chain,luxury smirk,bright blue
318,ivory,bucket hat,square sunglasses,orange bomber jacket,silver pendant chain,determined,bright lavender
319,cream,baseball cap,round sunglasses,racing jacket,diamond dog tag,focused,bright red
320,dark brown,none,aviator sunglasses,denim jacket,silver pendant chain,confident,bright orange
321,dark brown,baseball cap,square sunglasses,luxury streetwear hoodie,gold pendant chain,confident,bright mint
322,ivory,beret,aviator sunglasses,orange bomber jacket,thick gold chain,relaxed,bright blue
323,jet black,newsboy cap,square sunglasses,blue luxury shirt,silver pendant chain,determined,bright coral
324,ivory,newsboy cap,gold rim sunglasses,black luxury shirt,diamond dog tag,determined,bright lavender
325,sand brown,wide brim hat,sport sunglasses,plaid overshirt,diamond dog tag,luxury smirk,bright teal
326,silver gray,beret,luxury black sunglasses,luxury streetwear hoodie,none,determined,bright teal
327,charcoal black,flat cap,square sunglasses,galaxy print jacket,gold cuban chain,determined,bright mint
328,golden brown,flat cap,sport sunglasses,green varsity jacket,none,serious,bright pink
329,charcoal black,cowboy hat,sport sunglasses,black leather jacket,none,confident,bright purple
330,walnut brown,none,round sunglasses,purple velvet blazer,none,focused,bright cyan
331,cream,baseball cap,aviator sunglasses,galaxy print jacket,diamond dog tag,relaxed,bright cyan
332,cream,none,square sunglasses,galaxy print jacket,silver cuban chain,determined,bright teal
333,ash gray,wide brim hat,sport sunglasses,luxury streetwear hoodie,thick gold chain,determined,bright cyan
334,ash gray,cowboy hat,square sunglasses,plaid overshirt,none,calm,bright coral
335,silver gray,baseball cap,square sunglasses,rockstar stage jacket,silver cuban chain,serious,bright coral
336,golden brown,wide brim hat,luxury black sunglasses,orange bomber jacket,diamond dog tag,serious,bright blue
337,charcoal black,beret,round sunglasses,red luxury shirt,diamond dog tag,determined,bright cyan
338,dark brown,none,none,luxury streetwear hoodie,diamond dog tag,calm,bright teal
339,ivory,baseball cap,aviator sunglasses,orange bomber jacket,none,calm,bright blue
340,golden brown,baseball cap,gold rim sunglasses,orange bomber jacket,gold pendant chain,serious,bright yellow
341,sand brown,fedora,aviator sunglasses,black leather jacket,gold pendant chain,focused,bright red
342,ash gray,fedora,gold rim sunglasses,multicolor graffiti jacket,gold cuban chain,calm,bright mint
343,jet black,wide brim hat,sport sunglasses,white suit jacket,none,serious,bright orange
344,charcoal black,bucket hat,gold rim sunglasses,red luxury shirt,gold pendant chain,luxury smirk,bright yellow
345,ash gray,fedora,square sunglasses,rockstar stage jacket,silver pendant chain,calm,bright cyan
346,ivory,bucket hat,round sunglasses,galaxy print jacket,diamond dog tag,luxury smirk,bright coral
347,cream,fedora,luxury black sunglasses,black luxury shirt,silver pendant chain,calm,bright lavender
348,charcoal black,cowboy hat,aviator sunglasses,multicolor graffiti jacket,diamond dog tag,luxury smirk,bright pink
349,sand brown,bowler hat,sport sunglasses,multicolor graffiti jacket,gold cuban chain,luxury smirk,bright blue
350,sand brown,fedora,none,red luxury shirt,none,calm,bright coral
351,jet black,bucket hat,sport sunglasses,black leather jacket,silver cuban chain,relaxed,bright orange
352,jet black,baseball cap,luxury black sunglasses,racing jacket,silver cuban chain,serious,bright cyan
353,charcoal black,beret,luxury black sunglasses,luxury streetwear hoodie,gold cuban chain,determined,bright purple
354,jet black,bucket hat,none,white suit jacket,none,relaxed,bright cyan
355,golden brown,fedora,round sunglasses,white suit jacket,gold cuban chain,focused,bright lime
356,sand brown,flat cap,none,purple velvet blazer,diamond dog tag,calm,bright coral
357,jet black,cowboy hat,sport sunglasses,purple velvet blazer,thick gold chain,relaxed,bright cyan
358,silver gray,beret,aviator sunglasses,purple velvet blazer,silver pendant chain,focused,bright lime
359,dark brown,cowboy hat,luxury black sunglasses,red luxury shirt,none,determined,bright lavender
360,dark brown,bowler hat,aviator sunglasses,luxury streetwear hoodie,gold pendant chain,determined,bright pink
361,golden brown,bowler hat,none,denim jacket,thick gold chain,confident,bright yellow
362,jet black,flat cap,sport sunglasses,purple velvet blazer,silver pendant chain,relaxed,bright teal
363,charcoal black,bowler hat,round sunglasses,racing jacket,diamond dog tag,focused,bright orange
364,walnut brown,bucket hat,gold rim sunglasses,white suit jacket,none,confident,bright cyan
365,golden brown,cowboy hat,sport sunglasses,red luxury shirt,thick gold chain,serious,bright pink
366,jet black,bowler hat,none,rockstar stage jacket,gold cuban chain,serious,bright blue
367,walnut brown,bucket hat,square sunglasses,black luxury shirt,gold pendant chain,determined,bright blue
368,charcoal black,none,square sunglasses,denim jacket,gold pendant chain,focused,bright teal
369,charcoal black,newsboy cap,square sunglasses,black leather jacket,gold cuban chain,relaxed,bright pink
370,charcoal black,bowler hat,aviator sunglasses,luxury streetwear hoodie,silver pendant chain,relaxed,bright coral
371,silver gray,flat cap,aviator sunglasses,purple velvet blazer,silver cuban chain,luxury smirk,bright yellow
372,ivory,none,gold rim sunglasses,black luxury shirt,silver pendant chain,serious,bright cyan
373,walnut brown,cowboy hat,sport sunglasses,denim jacket,diamond dog tag,calm,bright teal
374,charcoal black,none,aviator sunglasses,rockstar stage jacket,gold cuban chain,determined,bright mint
375,jet black,none,gold rim sunglasses,purple velvet blazer,thick gold chain,calm,bright pink
376,dark brown,flat cap,round sunglasses,white suit jacket,silver cuban chain,relaxed,bright lime
377,ivory,newsboy cap,round sunglasses,rockstar stage jacket,silver pendant chain,luxury smirk,bright blue
378,walnut brown,none,none,black leather jacket,diamond dog tag,focused,bright pink
379,dark brown,flat cap,luxury black sunglasses,racing jacket,thick gold chain,serious,bright coral
380,jet black,none,square sunglasses,purple velvet blazer,diamond dog tag,serious,bright lavender
381,silver gray,none,luxury black sunglasses,luxury streetwear hoodie,silver cuban chain,confident,bright cyan
382,charcoal black,fedora,square sunglasses,galaxy print jacket,thick gold chain,relaxed,bright cyan
383,cream,fedora,round sunglasses,galaxy print jacket,silver pendant chain,determined,bright purple
384,ivory,bucket hat,round sunglasses,blue luxury shirt,silver pendant chain,determined,bright teal
385,cream,bowler hat,square sunglasses,red luxury shirt,silver pendant chain,serious,bright cyan
386,golden brown,bucket hat,round sunglasses,galaxy print jacket,silver pendant chain,focused,bright red
387,ash gray,fedora,none,green varsity jacket,silver pendant chain,confident,bright lavender
388,golden brown,none,square sunglasses,red luxury shirt,silver pendant chain,luxury smirk,bright lavender
389,cream,wide brim hat,gold rim sunglasses,green varsity jacket,silver pendant chain,confident,bright blue
390,walnut brown,fedora,sport sunglasses,purple velvet blazer,none,confident,bright orange
391,cream,newsboy cap,none,white suit jacket,silver pendant chain,calm,bright pink
392,dark brown,beret,gold rim sunglasses,orange bomber jacket,silver cuban chain,confident,bright teal
393,charcoal black,beret,round sunglasses,luxury streetwear hoodie,none,determined,bright lime
394,ash gray,newsboy cap,luxury black sunglasses,yellow designer jacket,gold cuban chain,focused,bright teal
395,sand brown,newsboy cap,none,white suit jacket,gold pendant chain,relaxed,bright yellow
396,ash gray,bowler hat,gold rim sunglasses,galaxy print jacket,silver cuban chain,confident,bright cyan
397,ash gray,newsboy cap,round sunglasses,multicolor graffiti jacket,silver pendant chain,focused,bright lime
398,charcoal black,baseball cap,sport sunglasses,black leather jacket,gold pendant chain,focused,bright lime
399,ivory,newsboy cap,gold rim sunglasses,racing jacket,gold cuban chain,calm,bright yellow
400,charcoal black,none,square sunglasses,denim jacket,thick gold chain,calm,bright pink
401,silver gray,baseball cap,sport sunglasses,black leather jacket,silver cuban chain,focused,bright cyan
402,ash gray,bucket hat,luxury black sunglasses,purple velvet blazer,gold pendant chain,calm,bright mint
403,sand brown,none,luxury black sunglasses,denim jacket,diamond dog tag,luxury smirk,bright coral
404,ash gray,cowboy hat,round sunglasses,white suit jacket,gold cuban chain,luxury smirk,bright red
405,cream,beret,square sunglasses,white suit jacket,gold cuban chain,determined,bright pink
406,golden brown,bucket hat,none,multicolor graffiti jacket,thick gold chain,focused,bright pink
407,golden brown,flat cap,gold rim sunglasses,yellow designer jacket,gold cuban chain,calm,bright blue
408,silver gray,flat cap,aviator sunglasses,white suit jacket,thick gold chain,focused,bright orange
409,ash gray,bowler hat,square sunglasses,green varsity jacket,diamond dog tag,luxury smirk,bright mint
410,cream,newsboy cap,round sunglasses,orange bomber jacket,thick gold chain,confident,bright pink
411,golden brown,flat cap,square sunglasses,galaxy print jacket,none,determined,bright lime
412,dark brown,flat cap,square sunglasses,white suit jacket,thick gold chain,luxury smirk,bright red
413,walnut brown,wide brim hat,luxury black sunglasses,rockstar stage jacket,thick gold chain,relaxed,bright lavender
414,walnut brown,newsboy cap,aviator sunglasses,green varsity jacket,diamond dog tag,relaxed,bright lavender
415,charcoal black,bucket hat,gold rim sunglasses,denim jacket,silver cuban chain,focused,bright red
416,ivory,cowboy hat,sport sunglasses,yellow designer jacket,none,focused,bright lime
417,sand brown,cowboy hat,square sunglasses,galaxy print jacket,silver pendant chain,relaxed,bright teal
418,charcoal black,baseball cap,aviator sunglasses,red luxury shirt,gold cuban chain,relaxed,bright teal
419,ash gray,bucket hat,none,white suit jacket,silver pendant chain,relaxed,bright teal
420,ivory,none,none,racing jacket,gold pendant chain,confident,bright blue
421,golden brown,wide brim hat,round sunglasses,orange bomber jacket,gold pendant chain,confident,bright teal
422,walnut brown,beret,none,blue luxury shirt,silver cuban chain,focused,bright orange
423,ash gray,fedora,none,blue luxury shirt,diamond dog tag,determined,bright lavender
424,silver gray,wide brim hat,aviator sunglasses,orange bomber jacket,thick gold chain,calm,bright pink
425,ivory,flat cap,aviator sunglasses,black luxury shirt,thick gold chain,focused,bright purple
426,dark brown,newsboy cap,square sunglasses,purple velvet blazer,diamond dog tag,determined,bright cyan
427,ash gray,none,square sunglasses,plaid overshirt,gold pendant chain,focused,bright lavender
428,cream,baseball cap,round sunglasses,purple velvet blazer,silver pendant chain,luxury smirk,bright teal
429,charcoal black,flat cap,luxury black sunglasses,denim jacket,gold pendant chain,luxury smirk,bright mint
430,silver gray,baseball cap,none,red luxury shirt,gold cuban chain,luxury smirk,bright yellow
431,charcoal black,none,sport sunglasses,galaxy print jacket,silver pendant chain,calm,bright cyan
432,silver gray,wide brim hat,round sunglasses,denim jacket,silver pendant chain,confident,bright yellow
433,walnut brown,bucket hat,gold rim sunglasses,yellow designer jacket,thick gold chain,determined,bright red
434,walnut brown,newsboy cap,sport sunglasses,racing jacket,none,focused,bright purple
435,ash gray,newsboy cap,square sunglasses,rockstar stage jacket,none,luxury smirk,bright mint
436,jet black,cowboy hat,aviator sunglasses,racing jacket,diamond dog tag,determined,bright lavender
437,silver gray,flat cap,aviator sunglasses,black leather jacket,none,serious,bright lavender
438,cream,bowler hat,round sunglasses,black leather jacket,silver pendant chain,serious,bright red
439,ivory,cowboy hat,sport sunglasses,denim jacket,diamond dog tag,determined,bright lime
440,golden brown,wide brim hat,sport sunglasses,luxury streetwear hoodie,thick gold chain,luxury smirk,bright red
441,jet black,wide brim hat,sport sunglasses,rockstar stage jacket,gold cuban chain,determined,bright cyan
442,ivory,wide brim hat,sport sunglasses,black leather jacket,diamond dog tag,determined,bright purple
443,golden brown,wide brim hat,none,denim jacket,silver pendant chain,determined,bright lavender
444,cream,newsboy cap,gold rim sunglasses,rockstar stage jacket,silver cuban chain,serious,bright teal
445,ivory,wide brim hat,sport sunglasses,black leather jacket,silver pendant chain,calm,bright purple
446,golden brown,bowler hat,round sunglasses,orange bomber jacket,thick gold chain,luxury smirk,bright teal
447,ash gray,baseball cap,aviator sunglasses,orange bomber jacket,gold cuban chain,confident,bright yellow
448,walnut brown,beret,square sunglasses,plaid overshirt,diamond dog tag,relaxed,bright pink
449,ivory,bowler hat,luxury black sunglasses,racing jacket,silver cuban chain,luxury smirk,bright pink
450,charcoal black,cowboy hat,round sunglasses,purple velvet blazer,gold cuban chain,focused,bright lime
451,sand brown,wide brim hat,aviator sunglasses,black leather jacket,none,luxury smirk,bright mint
452,charcoal black,none,aviator sunglasses,black leather jacket,silver pendant chain,luxury smirk,bright orange
453,jet black,bowler hat,aviator sunglasses,galaxy print jacket,gold cuban chain,luxury smirk,bright lavender
454,cream,bowler hat,sport sunglasses,rockstar stage jacket,silver cuban chain,serious,bright coral
455,walnut brown,flat cap,round sunglasses,black luxury shirt,silver pendant chain,serious,bright purple
456,jet black,bowler hat,gold rim sunglasses,black leather jacket,none,serious,bright lime
457,silver gray,bucket hat,aviator sunglasses,black luxury shirt,silver cuban chain,calm,bright coral
458,cream,bowler hat,luxury black sunglasses,black leather jacket,none,luxury smirk,bright lavender
459,dark brown,flat cap,square sunglasses,yellow designer jacket,gold cuban chain,focused,bright cyan
460,walnut brown,bucket hat,luxury black sunglasses,denim jacket,silver pendant chain,serious,bright lavender
461,cream,baseball cap,gold rim sunglasses,blue luxury shirt,none,luxury smirk,bright blue
462,ivory,newsboy cap,square sunglasses,multicolor graffiti jacket,silver pendant chain,confident,bright cyan
463,dark brown,newsboy cap,square sunglasses,multicolor graffiti jacket,thick gold chain,confident,bright orange
464,walnut brown,cowboy hat,square sunglasses,blue luxury shirt,silver cuban chain,luxury smirk,bright lime
465,silver gray,bucket hat,square sunglasses,denim jacket,diamond dog tag,luxury smirk,bright teal
466,silver gray,wide brim hat,square sunglasses,galaxy print jacket,thick gold chain,confident,bright mint
467,ash gray,bowler hat,sport sunglasses,denim jacket,diamond dog tag,relaxed,bright lavender
468,silver gray,fedora,luxury black sunglasses,galaxy print jacket,none,determined,bright blue
469,ash gray,bowler hat,sport sunglasses,plaid overshirt,silver cuban chain,luxury smirk,bright lime
470,ivory,bowler hat,aviator sunglasses,yellow designer jacket,gold cuban chain,focused,bright cyan
471,golden brown,fedora,sport sunglasses,rockstar stage jacket,gold pendant chain,serious,bright cyan
472,cream,flat cap,aviator sunglasses,orange bomber jacket,gold cuban chain,determined,bright yellow
473,sand brown,baseball cap,luxury black sunglasses,blue luxury shirt,silver pendant chain,confident,bright yellow
474,silver gray,bucket hat,round sunglasses,red luxury shirt,diamond dog tag,determined,bright teal
475,golden brown,baseball cap,round sunglasses,luxury streetwear hoodie,silver cuban chain,confident,bright lavender
476,sand brown,beret,round sunglasses,racing jacket,gold pendant chain,calm,bright cyan
477,sand brown,beret,sport sunglasses,plaid overshirt,thick gold chain,relaxed,bright teal
478,ivory,bowler hat,square sunglasses,multicolor graffiti jacket,diamond dog tag,luxury smirk,bright red
479,charcoal black,beret,luxury black sunglasses,green varsity jacket,silver cuban chain,focused,bright cyan
480,charcoal black,bucket hat,luxury black sunglasses,yellow designer jacket,diamond dog tag,determined,bright yellow
481,charcoal black,none,aviator sunglasses,yellow designer jacket,none,focused,bright coral
482,ivory,cowboy hat,none,luxury streetwear hoodie,silver cuban chain,serious,bright orange
483,charcoal black,newsboy cap,square sunglasses,denim jacket,none,confident,bright cyan
484,dark brown,newsboy cap,none,red luxury shirt,diamond dog tag,determined,bright lime
485,golden brown,beret,none,green varsity jacket,gold pendant chain,calm,bright lavender
486,jet black,fedora,round sunglasses,purple velvet blazer,silver pendant chain,relaxed,bright lime
487,walnut brown,none,square sunglasses,purple velvet blazer,thick gold chain,serious,bright yellow
488,ivory,cowboy hat,none,plaid overshirt,none,luxury smirk,bright orange
489,ash gray,newsboy cap,sport sunglasses,black leather jacket,gold pendant chain,confident,bright lavender
490,cream,none,luxury black sunglasses,green varsity jacket,diamond dog tag,determined,bright teal
491,ivory,cowboy hat,sport sunglasses,black leather jacket,gold pendant chain,calm,bright orange
492,charcoal black,cowboy hat,round sunglasses,plaid overshirt,gold pendant chain,focused,bright teal
493,walnut brown,wide brim hat,luxury black sunglasses,multicolor graffiti jacket,none,relaxed,bright purple
494,cream,cowboy hat,round sunglasses,rockstar stage jacket,none,relaxed,bright lime
495,cream,wide brim hat,gold rim sunglasses,black luxury shirt,gold pendant chain,focused,bright purple
496,sand brown,baseball cap,none,orange bomber jacket,diamond dog tag,luxury smirk,bright purple
497,walnut brown,beret,gold rim sunglasses,blue luxury shirt,silver cuban chain,serious,bright lavender
498,walnut brown,bowler hat,square sunglasses,denim jacket,silver cuban chain,luxury smirk,bright teal
499,ash gray,baseball cap,sport sunglasses,green varsity jacket,gold pendant chain,serious,bright purple
500,walnut brown,bowler hat,none,green varsity jacket,none,serious,bright pink
501,dark brown,none,luxury black sunglasses,red luxury shirt,gold cuban chain,relaxed,bright lime
502,ivory,beret,square sunglasses,white suit jacket,gold cuban chain,focused,bright lime
503,cream,bowler hat,gold rim sunglasses,yellow designer jacket,silver cuban chain,calm,bright lime
504,charcoal black,wide brim hat,none,black leather jacket,gold pendant chain,determined,bright coral
505,charcoal black,cowboy hat,none,orange bomber jacket,thick gold chain,confident,bright yellow
506,walnut brown,newsboy cap,sport sunglasses,black luxury shirt,silver cuban chain,calm,bright red
507,dark brown,beret,square sunglasses,red luxury shirt,gold pendant chain,relaxed,bright lime
508,silver gray,none,gold rim sunglasses,plaid overshirt,gold pendant chain,determined,bright coral
509,jet black,beret,square sunglasses,orange bomber jacket,diamond dog tag,determined,bright teal
510,silver gray,flat cap,luxury black sunglasses,green varsity jacket,none,serious,bright lavender
511,dark brown,none,aviator sunglasses,black leather jacket,diamond dog tag,luxury smirk,bright lime
512,cream,newsboy cap,gold rim sunglasses,black leather jacket,thick gold chain,calm,bright blue
513,ivory,beret,square sunglasses,multicolor graffiti jacket,silver pendant chain,focused,bright blue
514,charcoal black,cowboy hat,aviator sunglasses,multicolor graffiti jacket,none,relaxed,bright blue
515,golden brown,cowboy hat,gold rim sunglasses,red luxury shirt,gold cuban chain,luxury smirk,bright mint
516,walnut brown,flat cap,none,rockstar stage jacket,silver cuban chain,calm,bright coral
517,ivory,baseball cap,round sunglasses,rockstar stage jacket,silver pendant chain,confident,bright orange
518,dark brown,fedora,luxury black sunglasses,white suit jacket,gold cuban chain,calm,bright orange
519,golden brown,bowler hat,none,black leather jacket,thick gold chain,relaxed,bright orange
520,cream,fedora,square sunglasses,multicolor graffiti jacket,silver cuban chain,luxury smirk,bright mint
521,golden brown,wide brim hat,gold rim sunglasses,denim jacket,none,confident,bright purple
522,jet black,bucket hat,luxury black sunglasses,multicolor graffiti jacket,gold cuban chain,luxury smirk,bright lime
523,ash gray,wide brim hat,luxury black sunglasses,red luxury shirt,none,focused,bright coral
524,cream,none,luxury black sunglasses,purple velvet blazer,none,determined,bright blue
525,silver gray,beret,luxury black sunglasses,black leather jacket,silver cuban chain,focused,bright cyan
526,golden brown,cowboy hat,square sunglasses,purple velvet blazer,diamond dog tag,serious,bright pink
527,jet black,flat cap,sport sunglasses,green varsity jacket,silver pendant chain,focused,bright coral
528,cream,fedora,round sunglasses,purple velvet blazer,thick gold chain,luxury smirk,bright teal
529,sand brown,bowler hat,round sunglasses,rockstar stage jacket,diamond dog tag,confident,bright lime
530,golden brown,bucket hat,gold rim sunglasses,racing jacket,silver cuban chain,luxury smirk,bright lime
531,walnut brown,baseball cap,round sunglasses,yellow designer jacket,gold pendant chain,calm,bright lime
532,golden brown,baseball cap,sport sunglasses,black luxury shirt,gold cuban chain,focused,bright lavender
533,ivory,fedora,aviator sunglasses,purple velvet blazer,silver pendant chain,luxury smirk,bright red
534,charcoal black,baseball cap,none,racing jacket,gold pendant chain,confident,bright blue
535,silver gray,flat cap,luxury black sunglasses,luxury streetwear hoodie,gold pendant chain,calm,bright pink
536,jet black,none,round sunglasses,plaid overshirt,silver cuban chain,confident,bright orange
537,sand brown,cowboy hat,none,rockstar stage jacket,thick gold chain,serious,bright blue
538,charcoal black,none,sport sunglasses,racing jacket,none,serious,bright coral
539,cream,beret,gold rim sunglasses,multicolor graffiti jacket,thick gold chain,calm,bright cyan
540,charcoal black,newsboy cap,gold rim sunglasses,purple velvet blazer,gold cuban chain,confident,bright purple
541,ash gray,baseball cap,aviator sunglasses,orange bomber jacket,diamond dog tag,relaxed,bright cyan
542,charcoal black,bucket hat,sport sunglasses,orange bomber jacket,silver pendant chain,serious,bright mint
543,silver gray,bucket hat,gold rim sunglasses,green varsity jacket,diamond dog tag,focused,bright orange
544,golden brown,cowboy hat,round sunglasses,red luxury shirt,thick gold chain,serious,bright cyan
545,ash gray,cowboy hat,luxury black sunglasses,white suit jacket,silver cuban chain,calm,bright yellow
546,dark brown,baseball cap,luxury black sunglasses,plaid overshirt,gold cuban chain,focused,bright purple
547,charcoal black,baseball cap,aviator sunglasses,multicolor graffiti jacket,gold pendant chain,luxury smirk,bright mint
548,ash gray,flat cap,sport sunglasses,denim jacket,gold cuban chain,calm,bright red
549,cream,cowboy hat,aviator sunglasses,luxury streetwear hoodie,gold pendant chain,determined,bright red
550,ash gray,bowler hat,luxury black sunglasses,plaid overshirt,none,relaxed,bright orange
551,dark brown,beret,gold rim sunglasses,blue luxury shirt,silver cuban chain,determined,bright mint
552,ash gray,beret,gold rim sunglasses,galaxy print jacket,silver cuban chain,determined,bright red
553,charcoal black,bowler hat,aviator sunglasses,black luxury shirt,none,determined,bright lavender
554,ivory,fedora,gold rim sunglasses,white suit jacket,none,determined,bright yellow
555,sand brown,bucket hat,sport sunglasses,galaxy print jacket,gold cuban chain,determined,bright teal
